"sampno","beta","overall_prob","tshift","desired_mode","viral_peak","obs_sd","sd_mod","sd_mod_wane","true_0","intercept","LOD","incu","t_switch","level_switch","wane_rate2","prob_detect","t_unit","lnlike"
1,-0.058627964835614,0.242789434501901,0,5,19.8133619269356,7.73093748395331,0.788828786,14,40,40,3,5,16.4183460222557,37.4740450889803,1000,0.0111132900579832,1,-852.912287658334
11,-0.058627964835614,0.242789434501901,0,5,19.8133619269356,7.73093748395331,0.788828786,14,40,40,3,5,16.4183460222557,37.4740450889803,1000,0.0111132900579832,1,-852.912287658334
21,-0.0399447639790886,0.0811310186511437,0,5,18.370384032814,8.38948306981285,0.788828786,14,40,40,3,5,17.7078462439535,38.4508042654987,1000,0.248009396063785,1,-836.239618568592
31,-0.0399447639790886,0.0811310186511437,0,5,18.370384032814,8.38948306981285,0.788828786,14,40,40,3,5,17.7078462439535,38.4508042654987,1000,0.248009396063785,1,-836.239618568592
41,-0.0399447639790886,0.0811310186511437,0,5,18.370384032814,8.38948306981285,0.788828786,14,40,40,3,5,17.7078462439535,38.4508042654987,1000,0.248009396063785,1,-836.239618568592
51,-0.0399447639790886,0.0811310186511437,0,5,18.370384032814,8.38948306981285,0.788828786,14,40,40,3,5,17.7078462439535,38.4508042654987,1000,0.248009396063785,1,-836.239618568592
61,-0.0399447639790886,0.0811310186511437,0,5,18.370384032814,8.38948306981285,0.788828786,14,40,40,3,5,17.7078462439535,38.4508042654987,1000,0.248009396063785,1,-836.239618568592
71,-0.0399447639790886,0.0811310186511437,0,5,18.370384032814,8.38948306981285,0.788828786,14,40,40,3,5,17.7078462439535,38.4508042654987,1000,0.248009396063785,1,-836.239618568592
81,-0.0399447639790886,0.0811310186511437,0,5,18.370384032814,8.38948306981285,0.788828786,14,40,40,3,5,17.7078462439535,38.4508042654987,1000,0.248009396063785,1,-836.239618568592
91,-0.0399447639790886,0.0811310186511437,0,5,18.370384032814,8.38948306981285,0.788828786,14,40,40,3,5,17.7078462439535,38.4508042654987,1000,0.248009396063785,1,-836.239618568592
101,-0.0399447639790886,0.0811310186511437,0,5,18.370384032814,8.38948306981285,0.788828786,14,40,40,3,5,17.7078462439535,38.4508042654987,1000,0.248009396063785,1,-836.239618568592
111,-0.0399447639790886,0.0811310186511437,0,5,18.370384032814,8.38948306981285,0.788828786,14,40,40,3,5,17.7078462439535,38.4508042654987,1000,0.248009396063785,1,-836.239618568592
121,-0.0399447639790886,0.0811310186511437,0,5,18.370384032814,8.38948306981285,0.788828786,14,40,40,3,5,17.7078462439535,38.4508042654987,1000,0.248009396063785,1,-836.239618568592
131,-0.0399447639790886,0.0811310186511437,0,5,18.370384032814,8.38948306981285,0.788828786,14,40,40,3,5,17.7078462439535,38.4508042654987,1000,0.248009396063785,1,-836.239618568592
141,-0.0399447639790886,0.0811310186511437,0,5,18.370384032814,8.38948306981285,0.788828786,14,40,40,3,5,17.7078462439535,38.4508042654987,1000,0.248009396063785,1,-836.239618568592
151,-0.0399447639790886,0.0811310186511437,0,5,18.370384032814,8.38948306981285,0.788828786,14,40,40,3,5,17.7078462439535,38.4508042654987,1000,0.248009396063785,1,-836.239618568592
161,-0.0399447639790886,0.0811310186511437,0,5,18.370384032814,8.38948306981285,0.788828786,14,40,40,3,5,17.7078462439535,38.4508042654987,1000,0.248009396063785,1,-836.239618568592
171,-0.0399447639790886,0.0811310186511437,0,5,18.370384032814,8.38948306981285,0.788828786,14,40,40,3,5,17.7078462439535,38.4508042654987,1000,0.248009396063785,1,-836.239618568592
181,-0.0399447639790886,0.0811310186511437,0,5,18.370384032814,8.38948306981285,0.788828786,14,40,40,3,5,17.7078462439535,38.4508042654987,1000,0.248009396063785,1,-836.239618568592
191,-0.0399447639790886,0.0811310186511437,0,5,18.370384032814,8.38948306981285,0.788828786,14,40,40,3,5,17.7078462439535,38.4508042654987,1000,0.248009396063785,1,-836.239618568592
201,-0.0399447639790886,0.0811310186511437,0,5,18.370384032814,8.38948306981285,0.788828786,14,40,40,3,5,17.7078462439535,38.4508042654987,1000,0.248009396063785,1,-836.239618568592
211,-0.0399447639790886,0.0811310186511437,0,5,18.370384032814,8.38948306981285,0.788828786,14,40,40,3,5,17.7078462439535,38.4508042654987,1000,0.248009396063785,1,-836.239618568592
221,-0.0399447639790886,0.0811310186511437,0,5,18.370384032814,8.38948306981285,0.788828786,14,40,40,3,5,17.7078462439535,38.4508042654987,1000,0.248009396063785,1,-836.239618568592
231,-0.0399447639790886,0.0811310186511437,0,5,18.370384032814,8.38948306981285,0.788828786,14,40,40,3,5,17.7078462439535,38.4508042654987,1000,0.248009396063785,1,-836.239618568592
241,-0.0399447639790886,0.0811310186511437,0,5,18.370384032814,8.38948306981285,0.788828786,14,40,40,3,5,17.7078462439535,38.4508042654987,1000,0.248009396063785,1,-836.239618568592
251,-0.0399447639790886,0.0811310186511437,0,5,18.370384032814,8.38948306981285,0.788828786,14,40,40,3,5,17.7078462439535,38.4508042654987,1000,0.248009396063785,1,-836.239618568592
261,-0.0399447639790886,0.0811310186511437,0,5,18.370384032814,8.38948306981285,0.788828786,14,40,40,3,5,17.7078462439535,38.4508042654987,1000,0.248009396063785,1,-836.239618568592
