"sampno","beta","overall_prob","tshift","desired_mode","viral_peak","obs_sd","sd_mod","sd_mod_wane","true_0","intercept","LOD","incu","t_switch","level_switch","wane_rate2","prob_detect","t_unit","lnlike"
1,-0.161093702726066,0.110630662413314,0,5,18.3502071793191,5.28162773093209,0.788828786,14,40,40,3,5,19.3096308410168,37.5770453107543,1000,0.0910616361908615,1,-917.391457862665
11,-0.0493368263846752,0.965738235315258,0,5,18.7560184168413,5.34300736554667,0.788828786,14,40,40,3,5,17.9512026140512,36.6609376267613,1000,0.083206860655657,1,-812.887328727147
21,-0.0493368263846752,0.965738235315258,0,5,18.7560184168413,5.34300736554667,0.788828786,14,40,40,3,5,17.9512026140512,36.6609376267613,1000,0.083206860655657,1,-812.887328727147
31,-0.0493368263846752,0.965738235315258,0,5,18.7560184168413,5.34300736554667,0.788828786,14,40,40,3,5,17.9512026140512,36.6609376267613,1000,0.083206860655657,1,-812.887328727147
41,-0.0493368263846752,0.965738235315258,0,5,18.7560184168413,5.34300736554667,0.788828786,14,40,40,3,5,17.9512026140512,36.6609376267613,1000,0.083206860655657,1,-812.887328727147
51,-0.0493368263846752,0.965738235315258,0,5,18.7560184168413,5.34300736554667,0.788828786,14,40,40,3,5,17.9512026140512,36.6609376267613,1000,0.083206860655657,1,-812.887328727147
61,0.104895021912193,0.745032226707493,0,5,18.895785352457,4.93059282549527,0.788828786,14,40,40,3,5,17.6224343494475,36.6090641873603,1000,0.105745785140781,1,-806.079536189333
71,0.104895021912193,0.745032226707493,0,5,18.895785352457,4.93059282549527,0.788828786,14,40,40,3,5,17.6224343494475,36.6090641873603,1000,0.105745785140781,1,-806.079536189333
81,0.104895021912193,0.745032226707493,0,5,18.895785352457,4.93059282549527,0.788828786,14,40,40,3,5,17.6224343494475,36.6090641873603,1000,0.105745785140781,1,-806.079536189333
91,0.104895021912193,0.745032226707493,0,5,18.895785352457,4.93059282549527,0.788828786,14,40,40,3,5,17.6224343494475,36.6090641873603,1000,0.105745785140781,1,-806.079536189333
101,0.104895021912193,0.745032226707493,0,5,18.895785352457,4.93059282549527,0.788828786,14,40,40,3,5,17.6224343494475,36.6090641873603,1000,0.105745785140781,1,-806.079536189333
111,0.104895021912193,0.745032226707493,0,5,18.895785352457,4.93059282549527,0.788828786,14,40,40,3,5,17.6224343494475,36.6090641873603,1000,0.105745785140781,1,-806.079536189333
121,0.104895021912193,0.745032226707493,0,5,18.895785352457,4.93059282549527,0.788828786,14,40,40,3,5,17.6224343494475,36.6090641873603,1000,0.105745785140781,1,-806.079536189333
