"sampno","beta","overall_prob","tshift","desired_mode","viral_peak","obs_sd","sd_mod","sd_mod_wane","true_0","intercept","LOD","incu","t_switch","level_switch","wane_rate2","prob_detect","t_unit","lnlike"
1,0.0619612568989396,0.221954186446965,0,5,23.4670715592802,6.07276429841295,0.788828786,14,40,40,3,5,29.6258527273312,34.6201484815683,1000,0.0273217162955552,1,-3202.57251941154
11,0.0619612568989396,0.221954186446965,0,5,23.4670715592802,6.07276429841295,0.788828786,14,40,40,3,5,29.6258527273312,34.6201484815683,1000,0.0273217162955552,1,-3202.57251941154
21,0.0619612568989396,0.221954186446965,0,5,23.4670715592802,6.07276429841295,0.788828786,14,40,40,3,5,29.6258527273312,34.6201484815683,1000,0.0273217162955552,1,-3202.57251941154
31,0.0619612568989396,0.221954186446965,0,5,23.4670715592802,6.07276429841295,0.788828786,14,40,40,3,5,29.6258527273312,34.6201484815683,1000,0.0273217162955552,1,-3202.57251941154
41,0.0619612568989396,0.221954186446965,0,5,23.4670715592802,6.07276429841295,0.788828786,14,40,40,3,5,29.6258527273312,34.6201484815683,1000,0.0273217162955552,1,-3202.57251941154
51,0.0619612568989396,0.221954186446965,0,5,23.4670715592802,6.07276429841295,0.788828786,14,40,40,3,5,29.6258527273312,34.6201484815683,1000,0.0273217162955552,1,-3202.57251941154
61,0.0619612568989396,0.221954186446965,0,5,23.4670715592802,6.07276429841295,0.788828786,14,40,40,3,5,29.6258527273312,34.6201484815683,1000,0.0273217162955552,1,-3202.57251941154
71,0.499710176030538,0.121052363747683,0,5,23.1054060749807,6.01360443939166,0.788828786,14,40,40,3,5,28.6963296203803,33.8982786801763,1000,0.0764259999212415,1,-3099.6590789885
81,0.499710176030538,0.121052363747683,0,5,23.1054060749807,6.01360443939166,0.788828786,14,40,40,3,5,28.6963296203803,33.8982786801763,1000,0.0764259999212415,1,-3099.6590789885
91,0.499710176030538,0.121052363747683,0,5,23.1054060749807,6.01360443939166,0.788828786,14,40,40,3,5,28.6963296203803,33.8982786801763,1000,0.0764259999212415,1,-3099.6590789885
101,0.499710176030538,0.121052363747683,0,5,23.1054060749807,6.01360443939166,0.788828786,14,40,40,3,5,28.6963296203803,33.8982786801763,1000,0.0764259999212415,1,-3099.6590789885
111,0.499710176030538,0.121052363747683,0,5,23.1054060749807,6.01360443939166,0.788828786,14,40,40,3,5,28.6963296203803,33.8982786801763,1000,0.0764259999212415,1,-3099.6590789885
121,0.499710176030538,0.121052363747683,0,5,23.1054060749807,6.01360443939166,0.788828786,14,40,40,3,5,28.6963296203803,33.8982786801763,1000,0.0764259999212415,1,-3099.6590789885
131,0.499710176030538,0.121052363747683,0,5,23.1054060749807,6.01360443939166,0.788828786,14,40,40,3,5,28.6963296203803,33.8982786801763,1000,0.0764259999212415,1,-3099.6590789885
141,0.499710176030538,0.121052363747683,0,5,23.1054060749807,6.01360443939166,0.788828786,14,40,40,3,5,28.6963296203803,33.8982786801763,1000,0.0764259999212415,1,-3099.6590789885
151,0.499710176030538,0.121052363747683,0,5,23.1054060749807,6.01360443939166,0.788828786,14,40,40,3,5,28.6963296203803,33.8982786801763,1000,0.0764259999212415,1,-3099.6590789885
161,0.499710176030538,0.121052363747683,0,5,23.1054060749807,6.01360443939166,0.788828786,14,40,40,3,5,28.6963296203803,33.8982786801763,1000,0.0764259999212415,1,-3099.6590789885
171,0.499710176030538,0.121052363747683,0,5,23.1054060749807,6.01360443939166,0.788828786,14,40,40,3,5,28.6963296203803,33.8982786801763,1000,0.0764259999212415,1,-3099.6590789885
181,0.499710176030538,0.121052363747683,0,5,23.1054060749807,6.01360443939166,0.788828786,14,40,40,3,5,28.6963296203803,33.8982786801763,1000,0.0764259999212415,1,-3099.6590789885
191,0.499710176030538,0.121052363747683,0,5,23.1054060749807,6.01360443939166,0.788828786,14,40,40,3,5,28.6963296203803,33.8982786801763,1000,0.0764259999212415,1,-3099.6590789885
