"sampno","beta","overall_prob","tshift","desired_mode","viral_peak","obs_sd","sd_mod","sd_mod_wane","true_0","intercept","LOD","incu","t_switch","level_switch","wane_rate2","prob_detect","t_unit","lnlike"
1,-0.196952527947724,0.907841935986653,0,5,22.889844479505,5.10120099759661,0.788828786,14,40,40,3,5,21.8693100428209,33.6639926831704,1000,0.0782444748980925,1,-1650.42651185497
11,-0.128783623326853,0.709489240539367,0,5,23.1912185856875,4.87069701142844,0.788828786,14,40,40,3,5,22.3631526609125,35.7381146168004,1000,0.817435312236818,1,-750.772851735842
21,-0.128783623326853,0.709489240539367,0,5,23.1912185856875,4.87069701142844,0.788828786,14,40,40,3,5,22.3631526609125,35.7381146168004,1000,0.817435312236818,1,-750.772851735842
31,0.118434460910589,0.0903685327185859,0,5,23.3597152449226,4.64415256777542,0.788828786,14,40,40,3,5,22.6642472627911,36.3694678412718,1000,0.12373944695411,1,-240.14058519754
41,0.118434460910589,0.0903685327185859,0,5,23.3597152449226,4.64415256777542,0.788828786,14,40,40,3,5,22.6642472627911,36.3694678412718,1000,0.12373944695411,1,-240.14058519754
51,0.118434460910589,0.0903685327185859,0,5,23.3597152449226,4.64415256777542,0.788828786,14,40,40,3,5,22.6642472627911,36.3694678412718,1000,0.12373944695411,1,-240.14058519754
61,0.118434460910589,0.0903685327185859,0,5,23.3597152449226,4.64415256777542,0.788828786,14,40,40,3,5,22.6642472627911,36.3694678412718,1000,0.12373944695411,1,-240.14058519754
71,0.118434460910589,0.0903685327185859,0,5,23.3597152449226,4.64415256777542,0.788828786,14,40,40,3,5,22.6642472627911,36.3694678412718,1000,0.12373944695411,1,-240.14058519754
81,0.118434460910589,0.0903685327185859,0,5,23.3597152449226,4.64415256777542,0.788828786,14,40,40,3,5,22.6642472627911,36.3694678412718,1000,0.12373944695411,1,-240.14058519754
91,0.118434460910589,0.0903685327185859,0,5,23.3597152449226,4.64415256777542,0.788828786,14,40,40,3,5,22.6642472627911,36.3694678412718,1000,0.12373944695411,1,-240.14058519754
101,0.118434460910589,0.0903685327185859,0,5,23.3597152449226,4.64415256777542,0.788828786,14,40,40,3,5,22.6642472627911,36.3694678412718,1000,0.12373944695411,1,-240.14058519754
111,0.118434460910589,0.0903685327185859,0,5,23.3597152449226,4.64415256777542,0.788828786,14,40,40,3,5,22.6642472627911,36.3694678412718,1000,0.12373944695411,1,-240.14058519754
121,0.118434460910589,0.0903685327185859,0,5,23.3597152449226,4.64415256777542,0.788828786,14,40,40,3,5,22.6642472627911,36.3694678412718,1000,0.12373944695411,1,-240.14058519754
131,0.118434460910589,0.0903685327185859,0,5,23.3597152449226,4.64415256777542,0.788828786,14,40,40,3,5,22.6642472627911,36.3694678412718,1000,0.12373944695411,1,-240.14058519754
