"sampno","beta","overall_prob","tshift","desired_mode","viral_peak","obs_sd","sd_mod","sd_mod_wane","true_0","intercept","LOD","incu","t_switch","level_switch","wane_rate2","prob_detect","t_unit","lnlike"
1,-0.181118820048869,0.782544967951253,0,5,19.9863722943701,1.04585171560757,0.788828786,14,40,40,3,5,25.6674145627767,34.8129502716474,1000,0.0355975388130173,1,-600.68503470749
11,0.302492320568683,0.0249280195863659,0,5,19.9397233970869,1.38983253349348,0.788828786,14,40,40,3,5,24.5802820278964,35.816897382343,1000,0.427478553389594,1,-354.967120940928
21,0.302492320568683,0.0249280195863659,0,5,19.9397233970869,1.38983253349348,0.788828786,14,40,40,3,5,24.5802820278964,35.816897382343,1000,0.427478553389594,1,-354.967120940928
31,0.302492320568683,0.0249280195863659,0,5,19.9397233970869,1.38983253349348,0.788828786,14,40,40,3,5,24.5802820278964,35.816897382343,1000,0.427478553389594,1,-354.967120940928
41,0.339993367398298,0.424116760701937,0,5,21.1762329412613,2.26033661195137,0.788828786,14,40,40,3,5,24.1464812342429,36.0494039926747,1000,0.391698849918266,1,-280.899180162507
51,0.339993367398298,0.424116760701937,0,5,21.1762329412613,2.26033661195137,0.788828786,14,40,40,3,5,24.1464812342429,36.0494039926747,1000,0.391698849918266,1,-280.899180162507
61,0.339993367398298,0.424116760701937,0,5,21.1762329412613,2.26033661195137,0.788828786,14,40,40,3,5,24.1464812342429,36.0494039926747,1000,0.391698849918266,1,-280.899180162507
71,0.339993367398298,0.424116760701937,0,5,21.1762329412613,2.26033661195137,0.788828786,14,40,40,3,5,24.1464812342429,36.0494039926747,1000,0.391698849918266,1,-280.899180162507
81,0.339993367398298,0.424116760701937,0,5,21.1762329412613,2.26033661195137,0.788828786,14,40,40,3,5,24.1464812342429,36.0494039926747,1000,0.391698849918266,1,-280.899180162507
91,0.339993367398298,0.424116760701937,0,5,21.1762329412613,2.26033661195137,0.788828786,14,40,40,3,5,24.1464812342429,36.0494039926747,1000,0.391698849918266,1,-280.899180162507
