"sampno","beta","overall_prob","tshift","desired_mode","viral_peak","obs_sd","sd_mod","sd_mod_wane","true_0","intercept","LOD","incu","t_switch","level_switch","wane_rate2","prob_detect","t_unit","lnlike"
1,-0.0833712076768279,0.157417450798675,0,5,15.3967164480127,9.73129921359941,0.788828786,14,40,40,3,5,29.2325605591759,36.8984010710847,1000,0.0532276738993824,1,-3534.34675015376
11,-0.0833712076768279,0.157417450798675,0,5,15.3967164480127,9.73129921359941,0.788828786,14,40,40,3,5,29.2325605591759,36.8984010710847,1000,0.0532276738993824,1,-3534.34675015376
21,-0.0833712076768279,0.157417450798675,0,5,15.3967164480127,9.73129921359941,0.788828786,14,40,40,3,5,29.2325605591759,36.8984010710847,1000,0.0532276738993824,1,-3534.34675015376
31,-0.0833712076768279,0.157417450798675,0,5,15.3967164480127,9.73129921359941,0.788828786,14,40,40,3,5,29.2325605591759,36.8984010710847,1000,0.0532276738993824,1,-3534.34675015376
41,-0.0833712076768279,0.157417450798675,0,5,15.3967164480127,9.73129921359941,0.788828786,14,40,40,3,5,29.2325605591759,36.8984010710847,1000,0.0532276738993824,1,-3534.34675015376
51,-0.367047047731189,0.815913884231763,0,5,15.4096369017417,10.3793783184504,0.788828786,14,40,40,3,5,27.6224788834305,35.3255781385463,1000,0.160863557242257,1,-3498.33530686539
61,-0.367047047731189,0.815913884231763,0,5,15.4096369017417,10.3793783184504,0.788828786,14,40,40,3,5,27.6224788834305,35.3255781385463,1000,0.160863557242257,1,-3498.33530686539
71,-0.367047047731189,0.815913884231763,0,5,15.4096369017417,10.3793783184504,0.788828786,14,40,40,3,5,27.6224788834305,35.3255781385463,1000,0.160863557242257,1,-3498.33530686539
81,-0.367047047731189,0.815913884231763,0,5,15.4096369017417,10.3793783184504,0.788828786,14,40,40,3,5,27.6224788834305,35.3255781385463,1000,0.160863557242257,1,-3498.33530686539
91,-0.367047047731189,0.815913884231763,0,5,15.4096369017417,10.3793783184504,0.788828786,14,40,40,3,5,27.6224788834305,35.3255781385463,1000,0.160863557242257,1,-3498.33530686539
101,-0.367047047731189,0.815913884231763,0,5,15.4096369017417,10.3793783184504,0.788828786,14,40,40,3,5,27.6224788834305,35.3255781385463,1000,0.160863557242257,1,-3498.33530686539
111,-0.367047047731189,0.815913884231763,0,5,15.4096369017417,10.3793783184504,0.788828786,14,40,40,3,5,27.6224788834305,35.3255781385463,1000,0.160863557242257,1,-3498.33530686539
121,-0.367047047731189,0.815913884231763,0,5,15.4096369017417,10.3793783184504,0.788828786,14,40,40,3,5,27.6224788834305,35.3255781385463,1000,0.160863557242257,1,-3498.33530686539
131,-0.367047047731189,0.815913884231763,0,5,15.4096369017417,10.3793783184504,0.788828786,14,40,40,3,5,27.6224788834305,35.3255781385463,1000,0.160863557242257,1,-3498.33530686539
141,-0.367047047731189,0.815913884231763,0,5,15.4096369017417,10.3793783184504,0.788828786,14,40,40,3,5,27.6224788834305,35.3255781385463,1000,0.160863557242257,1,-3498.33530686539
151,-0.367047047731189,0.815913884231763,0,5,15.4096369017417,10.3793783184504,0.788828786,14,40,40,3,5,27.6224788834305,35.3255781385463,1000,0.160863557242257,1,-3498.33530686539
161,-0.367047047731189,0.815913884231763,0,5,15.4096369017417,10.3793783184504,0.788828786,14,40,40,3,5,27.6224788834305,35.3255781385463,1000,0.160863557242257,1,-3498.33530686539
171,-0.367047047731189,0.815913884231763,0,5,15.4096369017417,10.3793783184504,0.788828786,14,40,40,3,5,27.6224788834305,35.3255781385463,1000,0.160863557242257,1,-3498.33530686539
181,-0.367047047731189,0.815913884231763,0,5,15.4096369017417,10.3793783184504,0.788828786,14,40,40,3,5,27.6224788834305,35.3255781385463,1000,0.160863557242257,1,-3498.33530686539
191,-0.367047047731189,0.815913884231763,0,5,15.4096369017417,10.3793783184504,0.788828786,14,40,40,3,5,27.6224788834305,35.3255781385463,1000,0.160863557242257,1,-3498.33530686539
201,-0.367047047731189,0.815913884231763,0,5,15.4096369017417,10.3793783184504,0.788828786,14,40,40,3,5,27.6224788834305,35.3255781385463,1000,0.160863557242257,1,-3498.33530686539
211,-0.367047047731189,0.815913884231763,0,5,15.4096369017417,10.3793783184504,0.788828786,14,40,40,3,5,27.6224788834305,35.3255781385463,1000,0.160863557242257,1,-3498.33530686539
221,-0.367047047731189,0.815913884231763,0,5,15.4096369017417,10.3793783184504,0.788828786,14,40,40,3,5,27.6224788834305,35.3255781385463,1000,0.160863557242257,1,-3498.33530686539
231,-0.367047047731189,0.815913884231763,0,5,15.4096369017417,10.3793783184504,0.788828786,14,40,40,3,5,27.6224788834305,35.3255781385463,1000,0.160863557242257,1,-3498.33530686539
241,-0.367047047731189,0.815913884231763,0,5,15.4096369017417,10.3793783184504,0.788828786,14,40,40,3,5,27.6224788834305,35.3255781385463,1000,0.160863557242257,1,-3498.33530686539
251,-0.367047047731189,0.815913884231763,0,5,15.4096369017417,10.3793783184504,0.788828786,14,40,40,3,5,27.6224788834305,35.3255781385463,1000,0.160863557242257,1,-3498.33530686539
261,-0.367047047731189,0.815913884231763,0,5,15.4096369017417,10.3793783184504,0.788828786,14,40,40,3,5,27.6224788834305,35.3255781385463,1000,0.160863557242257,1,-3498.33530686539
271,-0.367047047731189,0.815913884231763,0,5,15.4096369017417,10.3793783184504,0.788828786,14,40,40,3,5,27.6224788834305,35.3255781385463,1000,0.160863557242257,1,-3498.33530686539
281,-0.367047047731189,0.815913884231763,0,5,15.4096369017417,10.3793783184504,0.788828786,14,40,40,3,5,27.6224788834305,35.3255781385463,1000,0.160863557242257,1,-3498.33530686539
291,-0.367047047731189,0.815913884231763,0,5,15.4096369017417,10.3793783184504,0.788828786,14,40,40,3,5,27.6224788834305,35.3255781385463,1000,0.160863557242257,1,-3498.33530686539
301,-0.367047047731189,0.815913884231763,0,5,15.4096369017417,10.3793783184504,0.788828786,14,40,40,3,5,27.6224788834305,35.3255781385463,1000,0.160863557242257,1,-3498.33530686539
311,-0.367047047731189,0.815913884231763,0,5,15.4096369017417,10.3793783184504,0.788828786,14,40,40,3,5,27.6224788834305,35.3255781385463,1000,0.160863557242257,1,-3498.33530686539
321,-0.367047047731189,0.815913884231763,0,5,15.4096369017417,10.3793783184504,0.788828786,14,40,40,3,5,27.6224788834305,35.3255781385463,1000,0.160863557242257,1,-3498.33530686539
331,-0.367047047731189,0.815913884231763,0,5,15.4096369017417,10.3793783184504,0.788828786,14,40,40,3,5,27.6224788834305,35.3255781385463,1000,0.160863557242257,1,-3498.33530686539
341,-0.367047047731189,0.815913884231763,0,5,15.4096369017417,10.3793783184504,0.788828786,14,40,40,3,5,27.6224788834305,35.3255781385463,1000,0.160863557242257,1,-3498.33530686539
351,-0.367047047731189,0.815913884231763,0,5,15.4096369017417,10.3793783184504,0.788828786,14,40,40,3,5,27.6224788834305,35.3255781385463,1000,0.160863557242257,1,-3498.33530686539
361,-0.367047047731189,0.815913884231763,0,5,15.4096369017417,10.3793783184504,0.788828786,14,40,40,3,5,27.6224788834305,35.3255781385463,1000,0.160863557242257,1,-3498.33530686539
371,-0.187616059009022,0.470656967613167,0,5,15.0195239897185,9.92471250485528,0.788828786,14,40,40,3,5,27.3838572143889,35.0430089536604,1000,0.274895242706564,1,-3494.77690837138
381,-0.187616059009022,0.470656967613167,0,5,15.0195239897185,9.92471250485528,0.788828786,14,40,40,3,5,27.3838572143889,35.0430089536604,1000,0.274895242706564,1,-3494.77690837138
391,-0.187616059009022,0.470656967613167,0,5,15.0195239897185,9.92471250485528,0.788828786,14,40,40,3,5,27.3838572143889,35.0430089536604,1000,0.274895242706564,1,-3494.77690837138
401,-0.187616059009022,0.470656967613167,0,5,15.0195239897185,9.92471250485528,0.788828786,14,40,40,3,5,27.3838572143889,35.0430089536604,1000,0.274895242706564,1,-3494.77690837138
411,-0.187616059009022,0.470656967613167,0,5,15.0195239897185,9.92471250485528,0.788828786,14,40,40,3,5,27.3838572143889,35.0430089536604,1000,0.274895242706564,1,-3494.77690837138
421,-0.187616059009022,0.470656967613167,0,5,15.0195239897185,9.92471250485528,0.788828786,14,40,40,3,5,27.3838572143889,35.0430089536604,1000,0.274895242706564,1,-3494.77690837138
431,-0.187616059009022,0.470656967613167,0,5,15.0195239897185,9.92471250485528,0.788828786,14,40,40,3,5,27.3838572143889,35.0430089536604,1000,0.274895242706564,1,-3494.77690837138
441,-0.187616059009022,0.470656967613167,0,5,15.0195239897185,9.92471250485528,0.788828786,14,40,40,3,5,27.3838572143889,35.0430089536604,1000,0.274895242706564,1,-3494.77690837138
451,-0.388108023714883,0.169040097759146,0,5,15.1623037493121,8.77656132739768,0.788828786,14,40,40,3,5,27.2247133905605,32.9917008820294,1000,0.262385455800405,1,-3488.49290312882
461,-0.388108023714883,0.169040097759146,0,5,15.1623037493121,8.77656132739768,0.788828786,14,40,40,3,5,27.2247133905605,32.9917008820294,1000,0.262385455800405,1,-3488.49290312882
471,-0.388108023714883,0.169040097759146,0,5,15.1623037493121,8.77656132739768,0.788828786,14,40,40,3,5,27.2247133905605,32.9917008820294,1000,0.262385455800405,1,-3488.49290312882
481,-0.388108023714883,0.169040097759146,0,5,15.1623037493121,8.77656132739768,0.788828786,14,40,40,3,5,27.2247133905605,32.9917008820294,1000,0.262385455800405,1,-3488.49290312882
491,-0.388108023714883,0.169040097759146,0,5,15.1623037493121,8.77656132739768,0.788828786,14,40,40,3,5,27.2247133905605,32.9917008820294,1000,0.262385455800405,1,-3488.49290312882
501,-0.388108023714883,0.169040097759146,0,5,15.1623037493121,8.77656132739768,0.788828786,14,40,40,3,5,27.2247133905605,32.9917008820294,1000,0.262385455800405,1,-3488.49290312882
511,-0.388108023714883,0.169040097759146,0,5,15.1623037493121,8.77656132739768,0.788828786,14,40,40,3,5,27.2247133905605,32.9917008820294,1000,0.262385455800405,1,-3488.49290312882
