"sampno","beta","overall_prob","tshift","desired_mode","viral_peak","obs_sd","sd_mod","sd_mod_wane","true_0","intercept","LOD","incu","t_switch","level_switch","wane_rate2","prob_detect","t_unit","lnlike"
1,0.115967234689742,0.608355600154027,0,5,18.6637096712366,2.93164801690727,0.788828786,14,40,40,3,5,28.6841026041657,37.381253114203,1000,0.0154446977609769,1,-761.429831914365
11,0.115967234689742,0.608355600154027,0,5,18.6637096712366,2.93164801690727,0.788828786,14,40,40,3,5,28.6841026041657,37.381253114203,1000,0.0154446977609769,1,-761.429831914365
21,-0.131871728791374,0.625384081741369,0,5,18.9723603161139,3.19750717920888,0.788828786,14,40,40,3,5,29.8771646151554,37.0753606374056,1000,0.225617327421079,1,-613.068158054445
31,-0.131871728791374,0.625384081741369,0,5,18.9723603161139,3.19750717920888,0.788828786,14,40,40,3,5,29.8771646151554,37.0753606374056,1000,0.225617327421079,1,-613.068158054445
41,-0.131871728791374,0.625384081741369,0,5,18.9723603161139,3.19750717920888,0.788828786,14,40,40,3,5,29.8771646151554,37.0753606374056,1000,0.225617327421079,1,-613.068158054445
51,-0.131871728791374,0.625384081741369,0,5,18.9723603161139,3.19750717920888,0.788828786,14,40,40,3,5,29.8771646151554,37.0753606374056,1000,0.225617327421079,1,-613.068158054445
61,-0.131871728791374,0.625384081741369,0,5,18.9723603161139,3.19750717920888,0.788828786,14,40,40,3,5,29.8771646151554,37.0753606374056,1000,0.225617327421079,1,-613.068158054445
71,-0.131871728791374,0.625384081741369,0,5,18.9723603161139,3.19750717920888,0.788828786,14,40,40,3,5,29.8771646151554,37.0753606374056,1000,0.225617327421079,1,-613.068158054445
81,-0.131871728791374,0.625384081741369,0,5,18.9723603161139,3.19750717920888,0.788828786,14,40,40,3,5,29.8771646151554,37.0753606374056,1000,0.225617327421079,1,-613.068158054445
91,-0.131871728791374,0.625384081741369,0,5,18.9723603161139,3.19750717920888,0.788828786,14,40,40,3,5,29.8771646151554,37.0753606374056,1000,0.225617327421079,1,-613.068158054445
101,-0.131871728791374,0.625384081741369,0,5,18.9723603161139,3.19750717920888,0.788828786,14,40,40,3,5,29.8771646151554,37.0753606374056,1000,0.225617327421079,1,-613.068158054445
111,-0.131871728791374,0.625384081741369,0,5,18.9723603161139,3.19750717920888,0.788828786,14,40,40,3,5,29.8771646151554,37.0753606374056,1000,0.225617327421079,1,-613.068158054445
121,-0.131871728791374,0.625384081741369,0,5,18.9723603161139,3.19750717920888,0.788828786,14,40,40,3,5,29.8771646151554,37.0753606374056,1000,0.225617327421079,1,-613.068158054445
131,-0.131871728791374,0.625384081741369,0,5,18.9723603161139,3.19750717920888,0.788828786,14,40,40,3,5,29.8771646151554,37.0753606374056,1000,0.225617327421079,1,-613.068158054445
141,-0.131871728791374,0.625384081741369,0,5,18.9723603161139,3.19750717920888,0.788828786,14,40,40,3,5,29.8771646151554,37.0753606374056,1000,0.225617327421079,1,-613.068158054445
151,-0.131871728791374,0.625384081741369,0,5,18.9723603161139,3.19750717920888,0.788828786,14,40,40,3,5,29.8771646151554,37.0753606374056,1000,0.225617327421079,1,-613.068158054445
161,-0.131871728791374,0.625384081741369,0,5,18.9723603161139,3.19750717920888,0.788828786,14,40,40,3,5,29.8771646151554,37.0753606374056,1000,0.225617327421079,1,-613.068158054445
171,-0.131871728791374,0.625384081741369,0,5,18.9723603161139,3.19750717920888,0.788828786,14,40,40,3,5,29.8771646151554,37.0753606374056,1000,0.225617327421079,1,-613.068158054445
181,-0.131871728791374,0.625384081741369,0,5,18.9723603161139,3.19750717920888,0.788828786,14,40,40,3,5,29.8771646151554,37.0753606374056,1000,0.225617327421079,1,-613.068158054445
191,-0.131871728791374,0.625384081741369,0,5,18.9723603161139,3.19750717920888,0.788828786,14,40,40,3,5,29.8771646151554,37.0753606374056,1000,0.225617327421079,1,-613.068158054445
201,-0.131871728791374,0.625384081741369,0,5,18.9723603161139,3.19750717920888,0.788828786,14,40,40,3,5,29.8771646151554,37.0753606374056,1000,0.225617327421079,1,-613.068158054445
211,-0.131871728791374,0.625384081741369,0,5,18.9723603161139,3.19750717920888,0.788828786,14,40,40,3,5,29.8771646151554,37.0753606374056,1000,0.225617327421079,1,-613.068158054445
221,-0.131871728791374,0.625384081741369,0,5,18.9723603161139,3.19750717920888,0.788828786,14,40,40,3,5,29.8771646151554,37.0753606374056,1000,0.225617327421079,1,-613.068158054445
231,-0.131871728791374,0.625384081741369,0,5,18.9723603161139,3.19750717920888,0.788828786,14,40,40,3,5,29.8771646151554,37.0753606374056,1000,0.225617327421079,1,-613.068158054445
241,-0.131871728791374,0.625384081741369,0,5,18.9723603161139,3.19750717920888,0.788828786,14,40,40,3,5,29.8771646151554,37.0753606374056,1000,0.225617327421079,1,-613.068158054445
251,-0.131871728791374,0.625384081741369,0,5,18.9723603161139,3.19750717920888,0.788828786,14,40,40,3,5,29.8771646151554,37.0753606374056,1000,0.225617327421079,1,-613.068158054445
261,-0.131871728791374,0.625384081741369,0,5,18.9723603161139,3.19750717920888,0.788828786,14,40,40,3,5,29.8771646151554,37.0753606374056,1000,0.225617327421079,1,-613.068158054445
271,-0.131871728791374,0.625384081741369,0,5,18.9723603161139,3.19750717920888,0.788828786,14,40,40,3,5,29.8771646151554,37.0753606374056,1000,0.225617327421079,1,-613.068158054445
281,-0.131871728791374,0.625384081741369,0,5,18.9723603161139,3.19750717920888,0.788828786,14,40,40,3,5,29.8771646151554,37.0753606374056,1000,0.225617327421079,1,-613.068158054445
291,-0.131871728791374,0.625384081741369,0,5,18.9723603161139,3.19750717920888,0.788828786,14,40,40,3,5,29.8771646151554,37.0753606374056,1000,0.225617327421079,1,-613.068158054445
301,-0.131871728791374,0.625384081741369,0,5,18.9723603161139,3.19750717920888,0.788828786,14,40,40,3,5,29.8771646151554,37.0753606374056,1000,0.225617327421079,1,-613.068158054445
311,-0.131871728791374,0.625384081741369,0,5,18.9723603161139,3.19750717920888,0.788828786,14,40,40,3,5,29.8771646151554,37.0753606374056,1000,0.225617327421079,1,-613.068158054445
321,-0.131871728791374,0.625384081741369,0,5,18.9723603161139,3.19750717920888,0.788828786,14,40,40,3,5,29.8771646151554,37.0753606374056,1000,0.225617327421079,1,-613.068158054445
331,-0.131871728791374,0.625384081741369,0,5,18.9723603161139,3.19750717920888,0.788828786,14,40,40,3,5,29.8771646151554,37.0753606374056,1000,0.225617327421079,1,-613.068158054445
341,-0.131871728791374,0.625384081741369,0,5,18.9723603161139,3.19750717920888,0.788828786,14,40,40,3,5,29.8771646151554,37.0753606374056,1000,0.225617327421079,1,-613.068158054445
351,-0.131871728791374,0.625384081741369,0,5,18.9723603161139,3.19750717920888,0.788828786,14,40,40,3,5,29.8771646151554,37.0753606374056,1000,0.225617327421079,1,-613.068158054445
361,-0.131871728791374,0.625384081741369,0,5,18.9723603161139,3.19750717920888,0.788828786,14,40,40,3,5,29.8771646151554,37.0753606374056,1000,0.225617327421079,1,-613.068158054445
371,-0.131871728791374,0.625384081741369,0,5,18.9723603161139,3.19750717920888,0.788828786,14,40,40,3,5,29.8771646151554,37.0753606374056,1000,0.225617327421079,1,-613.068158054445
381,-0.131871728791374,0.625384081741369,0,5,18.9723603161139,3.19750717920888,0.788828786,14,40,40,3,5,29.8771646151554,37.0753606374056,1000,0.225617327421079,1,-613.068158054445
391,-0.131871728791374,0.625384081741369,0,5,18.9723603161139,3.19750717920888,0.788828786,14,40,40,3,5,29.8771646151554,37.0753606374056,1000,0.225617327421079,1,-613.068158054445
401,-0.131871728791374,0.625384081741369,0,5,18.9723603161139,3.19750717920888,0.788828786,14,40,40,3,5,29.8771646151554,37.0753606374056,1000,0.225617327421079,1,-613.068158054445
411,-0.131871728791374,0.625384081741369,0,5,18.9723603161139,3.19750717920888,0.788828786,14,40,40,3,5,29.8771646151554,37.0753606374056,1000,0.225617327421079,1,-613.068158054445
421,-0.131871728791374,0.625384081741369,0,5,18.9723603161139,3.19750717920888,0.788828786,14,40,40,3,5,29.8771646151554,37.0753606374056,1000,0.225617327421079,1,-613.068158054445
431,-0.131871728791374,0.625384081741369,0,5,18.9723603161139,3.19750717920888,0.788828786,14,40,40,3,5,29.8771646151554,37.0753606374056,1000,0.225617327421079,1,-613.068158054445
441,-0.131871728791374,0.625384081741369,0,5,18.9723603161139,3.19750717920888,0.788828786,14,40,40,3,5,29.8771646151554,37.0753606374056,1000,0.225617327421079,1,-613.068158054445
451,-0.131871728791374,0.625384081741369,0,5,18.9723603161139,3.19750717920888,0.788828786,14,40,40,3,5,29.8771646151554,37.0753606374056,1000,0.225617327421079,1,-613.068158054445
461,-0.131871728791374,0.625384081741369,0,5,18.9723603161139,3.19750717920888,0.788828786,14,40,40,3,5,29.8771646151554,37.0753606374056,1000,0.225617327421079,1,-613.068158054445
471,-0.131871728791374,0.625384081741369,0,5,18.9723603161139,3.19750717920888,0.788828786,14,40,40,3,5,29.8771646151554,37.0753606374056,1000,0.225617327421079,1,-613.068158054445
481,-0.120754595050634,0.779627551078425,0,5,19.346462865555,4.57411202548837,0.788828786,14,40,40,3,5,29.3745026270631,39.1968233303079,1000,0.289096917266433,1,-596.18440610048
491,-0.120754595050634,0.779627551078425,0,5,19.346462865555,4.57411202548837,0.788828786,14,40,40,3,5,29.3745026270631,39.1968233303079,1000,0.289096917266433,1,-596.18440610048
501,-0.120754595050634,0.779627551078425,0,5,19.346462865555,4.57411202548837,0.788828786,14,40,40,3,5,29.3745026270631,39.1968233303079,1000,0.289096917266433,1,-596.18440610048
511,-0.120754595050634,0.779627551078425,0,5,19.346462865555,4.57411202548837,0.788828786,14,40,40,3,5,29.3745026270631,39.1968233303079,1000,0.289096917266433,1,-596.18440610048
521,-0.120754595050634,0.779627551078425,0,5,19.346462865555,4.57411202548837,0.788828786,14,40,40,3,5,29.3745026270631,39.1968233303079,1000,0.289096917266433,1,-596.18440610048
531,-0.120754595050634,0.779627551078425,0,5,19.346462865555,4.57411202548837,0.788828786,14,40,40,3,5,29.3745026270631,39.1968233303079,1000,0.289096917266433,1,-596.18440610048
541,-0.120754595050634,0.779627551078425,0,5,19.346462865555,4.57411202548837,0.788828786,14,40,40,3,5,29.3745026270631,39.1968233303079,1000,0.289096917266433,1,-596.18440610048
551,-0.120754595050634,0.779627551078425,0,5,19.346462865555,4.57411202548837,0.788828786,14,40,40,3,5,29.3745026270631,39.1968233303079,1000,0.289096917266433,1,-596.18440610048
561,-0.120754595050634,0.779627551078425,0,5,19.346462865555,4.57411202548837,0.788828786,14,40,40,3,5,29.3745026270631,39.1968233303079,1000,0.289096917266433,1,-596.18440610048
571,-0.120754595050634,0.779627551078425,0,5,19.346462865555,4.57411202548837,0.788828786,14,40,40,3,5,29.3745026270631,39.1968233303079,1000,0.289096917266433,1,-596.18440610048
581,-0.120754595050634,0.779627551078425,0,5,19.346462865555,4.57411202548837,0.788828786,14,40,40,3,5,29.3745026270631,39.1968233303079,1000,0.289096917266433,1,-596.18440610048
591,-0.120754595050634,0.779627551078425,0,5,19.346462865555,4.57411202548837,0.788828786,14,40,40,3,5,29.3745026270631,39.1968233303079,1000,0.289096917266433,1,-596.18440610048
601,-0.120754595050634,0.779627551078425,0,5,19.346462865555,4.57411202548837,0.788828786,14,40,40,3,5,29.3745026270631,39.1968233303079,1000,0.289096917266433,1,-596.18440610048
611,-0.120754595050634,0.779627551078425,0,5,19.346462865555,4.57411202548837,0.788828786,14,40,40,3,5,29.3745026270631,39.1968233303079,1000,0.289096917266433,1,-596.18440610048
621,-0.120754595050634,0.779627551078425,0,5,19.346462865555,4.57411202548837,0.788828786,14,40,40,3,5,29.3745026270631,39.1968233303079,1000,0.289096917266433,1,-596.18440610048
631,-0.120754595050634,0.779627551078425,0,5,19.346462865555,4.57411202548837,0.788828786,14,40,40,3,5,29.3745026270631,39.1968233303079,1000,0.289096917266433,1,-596.18440610048
641,-0.120754595050634,0.779627551078425,0,5,19.346462865555,4.57411202548837,0.788828786,14,40,40,3,5,29.3745026270631,39.1968233303079,1000,0.289096917266433,1,-596.18440610048
651,-0.120754595050634,0.779627551078425,0,5,19.346462865555,4.57411202548837,0.788828786,14,40,40,3,5,29.3745026270631,39.1968233303079,1000,0.289096917266433,1,-596.18440610048
661,-0.120754595050634,0.779627551078425,0,5,19.346462865555,4.57411202548837,0.788828786,14,40,40,3,5,29.3745026270631,39.1968233303079,1000,0.289096917266433,1,-596.18440610048
671,-0.120754595050634,0.779627551078425,0,5,19.346462865555,4.57411202548837,0.788828786,14,40,40,3,5,29.3745026270631,39.1968233303079,1000,0.289096917266433,1,-596.18440610048
681,-0.120754595050634,0.779627551078425,0,5,19.346462865555,4.57411202548837,0.788828786,14,40,40,3,5,29.3745026270631,39.1968233303079,1000,0.289096917266433,1,-596.18440610048
691,-0.120754595050634,0.779627551078425,0,5,19.346462865555,4.57411202548837,0.788828786,14,40,40,3,5,29.3745026270631,39.1968233303079,1000,0.289096917266433,1,-596.18440610048
701,-0.120754595050634,0.779627551078425,0,5,19.346462865555,4.57411202548837,0.788828786,14,40,40,3,5,29.3745026270631,39.1968233303079,1000,0.289096917266433,1,-596.18440610048
711,-0.120754595050634,0.779627551078425,0,5,19.346462865555,4.57411202548837,0.788828786,14,40,40,3,5,29.3745026270631,39.1968233303079,1000,0.289096917266433,1,-596.18440610048
721,-0.120754595050634,0.779627551078425,0,5,19.346462865555,4.57411202548837,0.788828786,14,40,40,3,5,29.3745026270631,39.1968233303079,1000,0.289096917266433,1,-596.18440610048
731,-0.120754595050634,0.779627551078425,0,5,19.346462865555,4.57411202548837,0.788828786,14,40,40,3,5,29.3745026270631,39.1968233303079,1000,0.289096917266433,1,-596.18440610048
741,-0.120754595050634,0.779627551078425,0,5,19.346462865555,4.57411202548837,0.788828786,14,40,40,3,5,29.3745026270631,39.1968233303079,1000,0.289096917266433,1,-596.18440610048
751,-0.120754595050634,0.779627551078425,0,5,19.346462865555,4.57411202548837,0.788828786,14,40,40,3,5,29.3745026270631,39.1968233303079,1000,0.289096917266433,1,-596.18440610048
761,-0.120754595050634,0.779627551078425,0,5,19.346462865555,4.57411202548837,0.788828786,14,40,40,3,5,29.3745026270631,39.1968233303079,1000,0.289096917266433,1,-596.18440610048
771,-0.120754595050634,0.779627551078425,0,5,19.346462865555,4.57411202548837,0.788828786,14,40,40,3,5,29.3745026270631,39.1968233303079,1000,0.289096917266433,1,-596.18440610048
781,-0.120754595050634,0.779627551078425,0,5,19.346462865555,4.57411202548837,0.788828786,14,40,40,3,5,29.3745026270631,39.1968233303079,1000,0.289096917266433,1,-596.18440610048
791,-0.120754595050634,0.779627551078425,0,5,19.346462865555,4.57411202548837,0.788828786,14,40,40,3,5,29.3745026270631,39.1968233303079,1000,0.289096917266433,1,-596.18440610048
801,-0.120754595050634,0.779627551078425,0,5,19.346462865555,4.57411202548837,0.788828786,14,40,40,3,5,29.3745026270631,39.1968233303079,1000,0.289096917266433,1,-596.18440610048
811,-0.120754595050634,0.779627551078425,0,5,19.346462865555,4.57411202548837,0.788828786,14,40,40,3,5,29.3745026270631,39.1968233303079,1000,0.289096917266433,1,-596.18440610048
821,-0.120754595050634,0.779627551078425,0,5,19.346462865555,4.57411202548837,0.788828786,14,40,40,3,5,29.3745026270631,39.1968233303079,1000,0.289096917266433,1,-596.18440610048
831,-0.120754595050634,0.779627551078425,0,5,19.346462865555,4.57411202548837,0.788828786,14,40,40,3,5,29.3745026270631,39.1968233303079,1000,0.289096917266433,1,-596.18440610048
841,-0.120754595050634,0.779627551078425,0,5,19.346462865555,4.57411202548837,0.788828786,14,40,40,3,5,29.3745026270631,39.1968233303079,1000,0.289096917266433,1,-596.18440610048
851,-0.120754595050634,0.779627551078425,0,5,19.346462865555,4.57411202548837,0.788828786,14,40,40,3,5,29.3745026270631,39.1968233303079,1000,0.289096917266433,1,-596.18440610048
861,-0.120754595050634,0.779627551078425,0,5,19.346462865555,4.57411202548837,0.788828786,14,40,40,3,5,29.3745026270631,39.1968233303079,1000,0.289096917266433,1,-596.18440610048
871,-0.120754595050634,0.779627551078425,0,5,19.346462865555,4.57411202548837,0.788828786,14,40,40,3,5,29.3745026270631,39.1968233303079,1000,0.289096917266433,1,-596.18440610048
881,-0.120754595050634,0.779627551078425,0,5,19.346462865555,4.57411202548837,0.788828786,14,40,40,3,5,29.3745026270631,39.1968233303079,1000,0.289096917266433,1,-596.18440610048
891,-0.120754595050634,0.779627551078425,0,5,19.346462865555,4.57411202548837,0.788828786,14,40,40,3,5,29.3745026270631,39.1968233303079,1000,0.289096917266433,1,-596.18440610048
901,-0.120754595050634,0.779627551078425,0,5,19.346462865555,4.57411202548837,0.788828786,14,40,40,3,5,29.3745026270631,39.1968233303079,1000,0.289096917266433,1,-596.18440610048
911,-0.120754595050634,0.779627551078425,0,5,19.346462865555,4.57411202548837,0.788828786,14,40,40,3,5,29.3745026270631,39.1968233303079,1000,0.289096917266433,1,-596.18440610048
921,-0.120754595050634,0.779627551078425,0,5,19.346462865555,4.57411202548837,0.788828786,14,40,40,3,5,29.3745026270631,39.1968233303079,1000,0.289096917266433,1,-596.18440610048
931,-0.120754595050634,0.779627551078425,0,5,19.346462865555,4.57411202548837,0.788828786,14,40,40,3,5,29.3745026270631,39.1968233303079,1000,0.289096917266433,1,-596.18440610048
941,-0.120754595050634,0.779627551078425,0,5,19.346462865555,4.57411202548837,0.788828786,14,40,40,3,5,29.3745026270631,39.1968233303079,1000,0.289096917266433,1,-596.18440610048
