"sampno","beta","overall_prob","tshift","desired_mode","viral_peak","obs_sd","sd_mod","sd_mod_wane","true_0","intercept","LOD","incu","t_switch","level_switch","wane_rate2","prob_detect","t_unit","lnlike"
1,-0.0901479152962565,0.0852069691754878,0,5,17.7279136492871,5.42372671584599,0.788828786,14,40,40,3,5,25.2538150316104,39.0841746232472,1000,0.0283841319731437,1,-2100.0794359279
11,0.298545493502233,0.969998598622816,0,5,17.4104825719065,4.55386910192535,0.788828786,14,40,40,3,5,25.2855419512037,39.0300112906558,1000,0.0531672024331856,1,-2046.66627816071
21,0.298545493502233,0.969998598622816,0,5,17.4104825719065,4.55386910192535,0.788828786,14,40,40,3,5,25.2855419512037,39.0300112906558,1000,0.0531672024331856,1,-2046.66627816071
31,0.298545493502233,0.969998598622816,0,5,17.4104825719065,4.55386910192535,0.788828786,14,40,40,3,5,25.2855419512037,39.0300112906558,1000,0.0531672024331856,1,-2046.66627816071
41,0.298545493502233,0.969998598622816,0,5,17.4104825719065,4.55386910192535,0.788828786,14,40,40,3,5,25.2855419512037,39.0300112906558,1000,0.0531672024331856,1,-2046.66627816071
51,0.298545493502233,0.969998598622816,0,5,17.4104825719065,4.55386910192535,0.788828786,14,40,40,3,5,25.2855419512037,39.0300112906558,1000,0.0531672024331856,1,-2046.66627816071
61,0.298545493502233,0.969998598622816,0,5,17.4104825719065,4.55386910192535,0.788828786,14,40,40,3,5,25.2855419512037,39.0300112906558,1000,0.0531672024331856,1,-2046.66627816071
71,0.298545493502233,0.969998598622816,0,5,17.4104825719065,4.55386910192535,0.788828786,14,40,40,3,5,25.2855419512037,39.0300112906558,1000,0.0531672024331856,1,-2046.66627816071
81,0.298545493502233,0.969998598622816,0,5,17.4104825719065,4.55386910192535,0.788828786,14,40,40,3,5,25.2855419512037,39.0300112906558,1000,0.0531672024331856,1,-2046.66627816071
91,0.298545493502233,0.969998598622816,0,5,17.4104825719065,4.55386910192535,0.788828786,14,40,40,3,5,25.2855419512037,39.0300112906558,1000,0.0531672024331856,1,-2046.66627816071
101,0.298545493502233,0.969998598622816,0,5,17.4104825719065,4.55386910192535,0.788828786,14,40,40,3,5,25.2855419512037,39.0300112906558,1000,0.0531672024331856,1,-2046.66627816071
111,0.298545493502233,0.969998598622816,0,5,17.4104825719065,4.55386910192535,0.788828786,14,40,40,3,5,25.2855419512037,39.0300112906558,1000,0.0531672024331856,1,-2046.66627816071
